subitem,subject,item,transciption
66-1,66,1,the envelope for the formal letters were sent out on the appropriate day
66-22,66,22,the trainer for the confident actor was not needed
66-12,66,12,the bodyguard near the nervous jeweler was doing his best to protect the jeweler
66-9,66,9,the butler near the spoiled kids was growing impatient
66-23,66,23,the canoe with the weathered flag was at the camp
66-17,66,17,the waitress by the impatient diner spit in his food
66-19,66,19,the resort with the elaborate gardens was always full
66-18,66,18,the table by the antique chair is not for sale
66-16,66,16,the eraser near the novelty pencil is not included
66-10,66,10,the vase near the vibrant cover belongs to my grandmother
66-6,66,6,the dam for the murky river was under constructions
66-11,66,11,the banana near the popular sandwich was devoured quickly
66-4,66,4,the coach for the disciplined athlete was taking illegal drugs
67-12,67,12,the bodyguard near the nervous jewelers noticed their nervousness
67-2,67,2,the cake with the candy figurine was very expensive
67-3,67,3,the hammer for the rigid peg was broken
67-5,67,5,the tent with the sturdy poles was upright
67-15,67,15,the church near the giant driveway was very old
67-9,67,9,the butler for the selfish millionaire became very annoyed
67-18,67,18,the table by the antique chairs was very expensive
67-7,67,7,the necklace with the colorful diamond was from kay jewelers
67-22,67,22,the trainer for the confident actors was very pleased with their work
67-1,67,1,the envelope for the photo album was given to james
67-23,67,23,the canoe with the weathered flags came in last place
67-11,67,11,the banana near the popular sandwiches was rotten
67-4,67,4,the coach for the disciplined athletes was very happy with their performance
67-17,67,17,the waitress by the impa-impatient diners became very annoyed
67-10,67,10,the vase near the bri-near the vibrant covers was very expensive
67-13,67,13,the bicycle by the warped basket…sorry…X
67-21,67,21,the guitar near the faulty string was unplayable
67-8,67,8,the fortress with the ancient wall was torn down
67-20,67,20,the hydrant near the bent hose was red
67-24,67,24,the camera with the special manuals was very difficult to use
67-19,67,19,the resort near the elongated pool was very expensive per night
67-6,67,6,the dam for the murky rivers finally gave way
67-14,67,14,the caddy near the charismatic celebrity got his autograph
67-16,67,16,the eraser near the novelty pencils was very worn down
68-3,68,3,a hammer from the rigid for the rigid pegs…slammed
68-2,68,2,the cake with the candy figures tasted amazing
68-8,68,8,the fortress with the ancient walls was fortified
68-23,68,23,the canoe near the wa-weathered oar was also broken
68-15,68,15,the church near the giant driveways had a lot of people in it
68-21,68,21,the guitar near leaf with the faulty strings was hard to play
68-4,68,4,the couch fo-the coach for the disturbed teen went crazy
68-1,68,1,the envelope for the photo albums was very beautiful
68-20,68,20,the hydrant near the bent house-hoses was very beautiful
68-10,68,10,the vase with the vibrant flowers was beautiful
68-9,68,9,the butler for the selfish homelessness was gave out food
68-14,68,14,the candy the caddy near the cemetery was lost
68-19,68,19,the resort near the elongated pool was beautiful
68-12,68,12,the bodyguard for the secret service protected the president
68-17,68,17,the waitress by the impatient sailor was mad
68-7,68,7,the necklace with the c-colorful diamonds was beautiful
68-11,68,11,the banana for the popular sundae was long
68-18,68,18,the table with the antique lamp was made out of wood
68-16,68,16,the erasers nearly near the near the pen were disgusting
68-24,68,24,the camera with the special lens took a great picture
68-5,68,5,the tent with the sturdy…with the sturdy cushion was comfortable
68-13,68,13,the bicycle by the rat baskets was beaten down
68-22,68,22,the trainer near the confident boxer was old
68-6,68,6,the dam from the misty factory was not working
69-5,69,5,the tent with the sturdy cushions was the most comfortable
69-16,69,16,the eraser near the novelty pens was nonexistent
69-20,69,20,the hydrant near the bridge reflections was awful
69-8,69,8,the fortress with the ancient farm was big
69-2,69,2,the cake by the colored candle was tasty
69-17,69,17,the waitress by the impatient seniors was mad
69-7,69,7,the necklace with the colorful feather was pretty
69-12,69,12,the bodyguard for the nervous actresses was big
69-23,69,23,the canoe near the weathered oars was my favorite
69-3,69,3,the hammer by the rusty nail was old
69-18,69,18,the table by the antique lamps was really old
69-9,69,9,the butler for the spoiled kid was angry
69-6,69,6,the dam for the musty factories was really old 
69-13,69,13,the bicycle with the warped tire didn't go anywhere
69-19,69,19,the resorts near the elaborate….X
69-22,69,22,the trainer near the confident boxers w-was happy
69-1,69,1,the envelope by the formal letter was large
69-15,69,15,the church with the giant cross was white
69-24,69,24,the camera by the special lenses was expensive
69-11,69,11,the banana for the popular sundaes was all out
69-10,69,10,the vase with vibrant flowers is my favorite
69-4,69,4,the coach for the disruptive teenagers was furious
69-14,69,14,the caddy for the charismatic golfer was fantastic
69-21,69,21,the guitar near the f-faulty pedal was unusable
70-1,70,1,the envelope by the formal taxes…X
70-23,70,23,the canoe near the weather began to sink
70-10,70,10,the vase was the vibrant color filled with flowers
70-2,70,2,the cake by the colored candles looks great
70-21,70,21,the guitar nearly nearly broke after they hit the pedals
70-11,70,11,the banana from the popular sandwich tasted great
70-7,70,7,the necklace with the colorful beads looks great on you that you got from jamaica
70-20,70,20,the hydrant near the bright re-reflectors shows the firefighters where to go
70-18,70,18,the table for the antique ah flower vase looks very nice
70-9,70,9,the butter for the spoiled the butter spoiled and therefore no one could have toast
70-14,70,14,the caddy for the charismitic(sic) guitarist got a huge tip because he gave him the right club
70-15,70,15,the church with the giant cross is directly across from my apartment
70-12,70,12,the bodyguard of the nervous um guitarist is aaa extremely big guy
70-16,70,16,the eraser for novelty …X
70-19,70,19,the resort near the elaborate gardens is a five star re-a five star hotel that gets great reviews
70-3,70,3,the hammer by the resol-the hammer by the result of nails…X
70-13,70,13,the bicycle with the warped tires is no longer ridable(sic)
70-4,70,4,the coach near the disciplined a-the coach of the disciplined athlete was frustrated that his athlete was not listening to him
70-22,70,22,the trainer near the confident doctor told his patient that his leg will be fine
70-5,70,5,the tent near the sturdy pole ah covers makes a nice and covering when it rains and you're at the park 
70-8,70,8,the fortress with the ancient forms is still unknown how it was built
70-6,70,6,the dam by the murky river um is t-is the only thing that's holding back the water flow from from the river into our town
70-17,70,17,the waitress from the impatient diner served us very promptly and we gave her a large tip
70-24,70,24,the camera the camera by the special manual was very difficult to operate and and was unable to take the kind of pictures I wish to take
71-18,71,18,the table for the antique chairs was rustic
71-5,71,5,the tent near the sturdy poles was tall
71-3,71,3,the hammer by the the hammer was very useful
71-8,71,8,the fortress near the ancient wall was also ancient
71-23,71,23,the canoe near the weathered flags was a sign of resilience
71-15,71,15,the church with the giant driveway was beautiful
71-7,71,7,the necklace near the necklace near the colonel was nice
71-12,71,12,the bodyguard for the nervous jewelers were highly vigilant
71-11,71,11,ah..the banana f-for the popular sandwiches was delicious
71-20,71,20,the hydrant with the bent hose was broken
71-9,71,9,the butler came near his selfish millions with his paws
71-21,71,21,the guitar with the fault string played out of tune
71-10,71,10,the vase with the vibrant covers was beautiful to look at
71-16,71,16,the eraser with the for the novelty pencils was unique
71-22,71,22,the trainer near the confident actors was also very skilled
71-4,71,4,the coach near the disciplined athletes was very disciplined as well
71-6,71,6,the dam by the murky rivers provided a place to go fishing
71-19,71,19,the resort with the elongated pool was majestic
71-1,71,1,the envelope by the photo album was colored manila
71-2,71,2,ah the cake by the candy…was delicious
71-14,71,14,the caddy for the charismatic celebrity was also charismatic
71-13,71,13,the bicycle with the warped basket had two wheels
71-17,71,17,the waitress for the impatient diners was kind
71-24,71,24,the camera by the special manuals was a nikon
72-22,72,22,the trainer for the confident um taught him how to work out
72-19,72,19,the resort with the elongated pools was very relaxing
72-7,72,7,the necklace near the colorful um charms was beautiful
72-12,72,12,the bodyguard near the nervous actress stepped in and stopped a fight
72-3,72,3,the hammer by the rigid nails was heavy to use
72-18,72,18,the table for the antique lamp was rickety and old
72-24,72,24,the camera with the special lens took really long pictures
72-14,72,14,the caddy for the charismic(sic)… character carried the clubs
72-2,72,2,the cake by the cake store looked delicious
72-11,72,11,the banana near the popular sundae was delicious
72-5,72,5,the tent near the sturdy cushion fell down in the strong breeze
72-16,72,16,the eraser for the novelty pen didn't work very well
72-4,72,4,the coach interrupted his players when they were talking back
72-15,72,15,the church with the giant um pillars was old
